order_id,customer_region,product_category,order_date,ship_date,delivery_date,shipping_mode,shipping_cost,delivery_status,delivery_days,on_time_flag,delay_flag
OR15714,West,Grocery,2025-06-05,2025-06-08,2025-06-15,Standard,101,Delivered,7,1,0
OR15715,Central,Electronics,2024-12-21,2024-12-22,2024-12-28,Standard,101,Delayed,6,0,1
OR15716,Central,Sports,2025-06-18,2025-06-21,2025-06-28,Standard,95,Delivered,7,1,0
OR15717,West,Sports,2025-11-08,2025-11-11,2025-11-17,Standard,84,Delivered,6,1,0
OR15718,South,Sports,2024-03-14,2024-03-17,2024-03-25,Express,190,Delivered,8,1,0
OR15719,South,Beauty,2023-05-09,2023-05-12,2023-05-22,Standard,89,Delivered,10,1,0
OR15720,Central,Electronics,2025-11-26,2025-11-29,2025-12-05,Standard,88,Delivered,6,1,0
OR15721,Central,Sports,2023-04-01,2023-04-01,2023-04-03,Standard,103,Delivered,2,1,0
OR15722,West,Home,2024-06-19,2024-06-22,2024-07-04,Express,184,Delivered,12,1,0
OR15723,South,Beauty,2025-10-06,2025-10-09,2025-10-18,Standard,53,Delivered,9,1,0
OR15724,Central,Electronics,2025-12-24,2025-12-27,2026-01-02,Standard,66,Delivered,6,1,0
OR15725,South,Home,2022-10-24,2022-10-27,2022-11-05,Standard,108,Delivered,9,1,0
OR15726,Central,Fashion,2022-03-26,2022-03-29,2022-04-06,Express,86,Delivered,8,1,0
OR15727,North,Electronics,2025-11-11,2025-11-11,2025-11-13,Express,210,Delivered,2,1,0
OR15728,East,Sports,2025-08-30,2025-08-31,2025-09-06,Same Day,220,Delivered,6,1,0
OR15729,North,Sports,2025-10-01,2025-10-04,2025-10-16,Standard,120,Delivered,12,1,0
OR15730,Central,Beauty,2023-05-26,2023-05-29,2023-06-06,Standard,74,Delivered,8,1,0
OR15731,East,Fashion,2024-02-02,2024-02-05,2024-02-12,Same Day,385,Delivered,7,1,0
OR15732,East,Beauty,2023-04-23,2023-04-24,2023-04-30,Standard,149,Delivered,6,1,0
OR15733,Central,Grocery,2023-12-28,2023-12-29,2024-01-03,Standard,84,Delivered,5,1,0
OR15734,Central,Fashion,2024-10-06,2024-10-09,2024-10-15,Express,116,Delivered,6,1,0
OR15735,South,Sports,2025-02-17,2025-02-17,2025-02-21,Standard,61,Delivered,4,1,0
OR15736,Central,Sports,2023-03-01,2023-03-04,2023-03-11,Standard,147,Delivered,7,1,0
OR15737,West,Grocery,2022-07-22,2022-07-25,2022-08-02,Standard,106,Delivered,8,1,0
OR15738,Central,Fashion,2024-08-15,2024-08-15,2024-08-17,Standard,146,Delivered,2,1,0
OR15739,West,Home,2024-03-19,2024-03-20,2024-03-25,Standard,97,Delivered,5,1,0
OR15740,Central,Fashion,2022-08-18,2022-08-21,2022-08-29,Express,158,Delivered,8,1,0
OR15741,South,Home,2025-08-05,2025-08-08,2025-08-15,Standard,94,Delivered,7,1,0
OR15742,West,Sports,2024-01-10,2024-01-11,2024-01-17,Standard,113,Delayed,6,0,1
OR15743,North,Sports,2022-02-07,2022-02-10,2022-02-16,Express,202,Delivered,6,1,0
OR15744,West,Fashion,2025-03-15,2025-03-16,2025-03-21,Standard,138,Delivered,5,1,0
OR15745,South,Sports,2023-03-14,2023-03-15,2023-03-21,Standard,106,Delivered,6,1,0
OR15746,West,Beauty,2024-12-08,2024-12-11,2024-12-20,Same Day,211,Delivered,9,1,0
OR15747,Central,Beauty,2025-09-02,2025-09-03,2025-09-08,Standard,89,Delivered,5,1,0
OR15748,Central,Beauty,2023-06-12,2023-06-15,2023-06-23,Standard,101,Delayed,8,0,1
OR15749,South,Grocery,2022-08-02,2022-08-05,2022-08-12,Express,189,Delivered,7,1,0
OR15750,East,Electronics,2023-08-20,2023-08-20,2023-08-24,Standard,78,Delivered,4,1,0
OR15751,Central,Home,2024-03-22,2024-03-23,2024-03-27,Express,233,Delivered,4,1,0
OR15752,North,Sports,2025-01-23,2025-01-26,2025-02-04,Standard,105,Delivered,9,1,0
OR15753,South,Home,2023-10-29,2023-10-29,2023-11-01,Standard,127,Delivered,3,1,0
OR15754,West,Fashion,2023-11-12,2023-11-15,2023-11-23,Standard,121,Delivered,8,1,0
OR15755,West,Grocery,2024-09-23,2024-09-24,2024-09-29,Express,195,Delivered,5,1,0
OR15756,North,Home,2023-12-29,2023-12-30,2024-01-03,Express,111,Delivered,4,1,0
OR15757,Central,Sports,2022-05-18,2022-05-19,2022-05-24,Standard,60,Delivered,5,1,0
OR15758,South,Electronics,2024-12-16,2024-12-19,2024-12-26,Same Day,272,Delivered,7,1,0
OR15759,North,Beauty,2024-07-13,2024-07-16,2024-07-23,Standard,147,Delayed,7,0,1
OR15760,Central,Grocery,2022-06-15,2022-06-16,2022-06-23,Standard,145,Delivered,7,1,0
OR15761,South,Fashion,2022-07-24,2022-07-27,2022-08-03,Standard,117,Delivered,7,1,0
OR15762,West,Sports,2024-09-25,2024-09-28,2024-10-05,Standard,123,Delivered,7,1,0
OR15763,South,Grocery,2024-02-13,2024-02-16,2024-02-23,Standard,57,Delayed,7,0,1
OR15764,East,Sports,2022-05-22,2022-05-25,2022-05-31,Express,102,Delayed,6,0,1
OR15765,South,Fashion,2024-01-04,2024-01-05,2024-01-12,Standard,126,Delivered,7,1,0
OR15766,East,Fashion,2024-01-13,2024-01-14,2024-01-19,Express,96,Delivered,5,1,0
OR15767,South,Electronics,2022-02-23,2022-02-24,2022-03-02,Express,91,Delayed,6,0,1
OR15768,East,Grocery,2022-06-03,2022-06-04,2022-06-08,Express,220,Delayed,4,0,1
OR15769,West,Electronics,2022-08-14,2022-08-15,2022-08-22,Standard,82,Delivered,7,1,0
OR15770,Central,Electronics,2022-10-12,2022-10-12,2022-10-14,Standard,139,Delivered,2,1,0
OR15771,East,Electronics,2022-03-03,2022-03-06,2022-03-15,Standard,51,Delivered,9,1,0
OR15772,East,Beauty,2025-11-16,2025-11-17,2025-11-22,Standard,142,Delivered,5,1,0
OR15773,West,Home,2023-11-10,2023-11-11,2023-11-16,Same Day,211,Delivered,5,1,0
OR15774,East,Fashion,2025-11-26,2025-11-29,2025-12-08,Express,104,Delivered,9,1,0
OR15775,North,Electronics,2024-02-29,2024-03-01,2024-03-06,Standard,93,Delivered,5,1,0
OR15776,West,Home,2023-10-20,2023-10-21,2023-10-28,Standard,54,Delivered,7,1,0
OR15777,North,Home,2023-11-08,2023-11-11,2023-11-17,Standard,137,Delivered,6,1,0
OR15778,West,Home,2025-10-22,2025-10-25,2025-10-31,Standard,61,Delivered,6,1,0
OR15779,East,Electronics,2025-03-30,2025-04-02,2025-04-11,Express,172,Delivered,9,1,0
OR15780,North,Home,2024-08-01,2024-08-04,2024-08-11,Same Day,230,Delivered,7,1,0
OR15781,East,Electronics,2022-02-17,2022-02-18,2022-02-25,Standard,63,Delivered,7,1,0
OR15782,West,Grocery,2023-01-21,2023-01-21,2023-01-25,Express,136,Delivered,4,1,0
OR15783,East,Fashion,2022-09-06,2022-09-09,2022-09-15,Standard,130,Delayed,6,0,1
OR15784,North,Sports,2022-01-26,2022-01-29,2022-02-07,Standard,114,Delivered,9,1,0
OR15785,North,Electronics,2025-03-14,2025-03-14,2025-03-18,Standard,67,Delivered,4,1,0
OR15786,East,Fashion,2025-07-07,2025-07-08,2025-07-14,Standard,83,Delivered,6,1,0
OR15787,South,Electronics,2022-01-09,2022-01-10,2022-01-14,Standard,62,Delivered,4,1,0
OR15788,West,Beauty,2023-05-15,2023-05-16,2023-05-20,Express,152,Returned,4,1,0
OR15789,West,Grocery,2025-07-13,2025-07-16,2025-07-25,Express,95,Delivered,9,1,0
OR15790,East,Fashion,2022-08-29,2022-09-01,2022-09-07,Standard,142,Delivered,6,1,0
OR15791,South,Fashion,2025-09-10,2025-09-13,2025-09-22,Standard,85,Delivered,9,1,0
OR15792,North,Home,2022-06-26,2022-06-26,2022-06-28,Standard,65,Delivered,2,1,0
OR15793,Central,Electronics,2023-06-15,2023-06-18,2023-06-27,Standard,129,Delivered,9,1,0
OR15794,Central,Electronics,2024-11-26,2024-11-29,2024-12-06,Express,166,Delivered,7,1,0
OR15795,East,Sports,2022-08-13,2022-08-16,2022-08-24,Express,140,Delivered,8,1,0
OR15796,South,Home,2024-03-27,2024-03-28,2024-04-02,Express,81,Delayed,5,0,1
OR15797,South,Home,2025-06-19,2025-06-22,2025-07-04,Standard,85,Delivered,12,1,0
OR15798,West,Sports,2023-01-25,2023-01-28,2023-02-04,Express,186,Delivered,7,1,0
OR15799,North,Home,2025-09-05,2025-09-06,2025-09-10,Standard,112,Delivered,4,1,0
OR15800,South,Home,2024-07-07,2024-07-07,2024-07-10,Standard,55,Delivered,3,1,0
OR15801,Central,Grocery,2023-06-27,2023-06-28,2023-07-04,Standard,143,Returned,6,1,0
OR15802,North,Beauty,2022-02-02,2022-02-03,2022-02-10,Express,210,Delivered,7,1,0
OR15803,North,Fashion,2023-06-13,2023-06-14,2023-06-18,Standard,113,Delivered,4,1,0
OR15804,East,Sports,2023-07-31,2023-08-03,2023-08-15,Same Day,248,Delivered,12,1,0
OR15805,South,Grocery,2024-02-06,2024-02-09,2024-02-19,Express,155,Delivered,10,1,0
OR15806,East,Beauty,2023-08-02,2023-08-02,2023-08-06,Same Day,302,Delivered,4,1,0
OR15807,South,Grocery,2022-06-22,2022-06-25,2022-07-02,Express,175,Delivered,7,1,0
OR15808,West,Grocery,2022-08-16,2022-08-19,2022-08-26,Standard,69,Delivered,7,1,0
OR15809,East,Home,2022-03-29,2022-03-30,2022-04-03,Standard,73,Delayed,4,0,1
OR15810,East,Beauty,2022-08-21,2022-08-22,2022-08-29,Standard,59,Delivered,7,1,0
OR15811,Central,Beauty,2024-01-22,2024-01-23,2024-01-30,Standard,124,Delivered,7,1,0
OR15812,East,Sports,2022-02-06,2022-02-07,2022-02-13,Express,203,Delivered,6,1,0
OR15813,South,Home,2025-10-03,2025-10-06,2025-10-13,Standard,122,Delivered,7,1,0
OR15814,Central,Home,2022-10-10,2022-10-11,2022-10-15,Standard,128,Delivered,4,1,0
OR15815,East,Grocery,2022-05-28,2022-05-29,2022-06-05,Standard,103,Returned,7,1,0
OR15816,East,Electronics,2024-07-26,2024-07-29,2024-08-09,Standard,110,Delivered,11,1,0
OR15817,West,Sports,2024-07-09,2024-07-10,2024-07-14,Same Day,250,Delivered,4,1,0
OR15818,East,Sports,2025-02-05,2025-02-06,2025-02-13,Standard,147,Delayed,7,0,1
OR15819,North,Grocery,2024-12-29,2025-01-01,2025-01-09,Standard,98,Delivered,8,1,0
OR15820,Central,Grocery,2025-02-07,2025-02-10,2025-02-16,Standard,69,Delivered,6,1,0
OR15821,North,Fashion,2022-06-16,2022-06-19,2022-06-28,Standard,97,Delayed,9,0,1
OR15822,Central,Grocery,2023-01-12,2023-01-13,2023-01-20,Standard,100,Delivered,7,1,0
OR15823,West,Home,2025-10-17,2025-10-20,2025-10-28,Standard,96,Delayed,8,0,1
OR15824,East,Grocery,2024-11-19,2024-11-20,2024-11-24,Express,222,Delivered,4,1,0
OR15825,East,Sports,2023-07-13,2023-07-14,2023-07-21,Express,215,Delivered,7,1,0
OR15826,East,Electronics,2023-11-18,2023-11-19,2023-11-23,Express,107,Delivered,4,1,0
OR15827,Central,Electronics,2024-12-09,2024-12-09,2024-12-11,Express,215,Delivered,2,1,0
OR15828,East,Home,2022-10-11,2022-10-12,2022-10-19,Express,237,Delayed,7,0,1
OR15829,North,Electronics,2022-07-20,2022-07-23,2022-08-02,Express,96,Delivered,10,1,0
OR15830,East,Grocery,2025-06-29,2025-06-30,2025-07-04,Standard,59,Returned,4,1,0
OR15831,West,Electronics,2024-03-26,2024-03-27,2024-04-03,Express,149,Delivered,7,1,0
OR15832,North,Grocery,2023-12-07,2023-12-10,2023-12-16,Standard,139,Delivered,6,1,0
OR15833,East,Beauty,2022-02-16,2022-02-17,2022-02-23,Standard,147,Delivered,6,1,0
OR15834,East,Fashion,2022-06-22,2022-06-23,2022-06-30,Express,209,Delivered,7,1,0
OR15835,South,Sports,2025-02-26,2025-02-27,2025-03-04,Same Day,304,Delivered,5,1,0
OR15836,Central,Beauty,2022-07-13,2022-07-13,2022-07-16,Standard,72,Delayed,3,0,1
OR15837,North,Home,2023-09-23,2023-09-23,2023-09-27,Express,244,Delivered,4,1,0
OR15838,South,Fashion,2025-10-11,2025-10-14,2025-10-20,Standard,51,Delivered,6,1,0
OR15839,West,Electronics,2023-06-19,2023-06-19,2023-06-22,Express,91,Delayed,3,0,1
OR15840,Central,Home,2024-07-04,2024-07-07,2024-07-13,Same Day,366,Delivered,6,1,0
OR15841,North,Grocery,2023-02-21,2023-02-21,2023-02-25,Express,127,Delivered,4,1,0
OR15842,East,Fashion,2025-06-07,2025-06-08,2025-06-13,Standard,73,Delivered,5,1,0
OR15843,North,Sports,2023-08-24,2023-08-25,2023-08-30,Standard,108,Delivered,5,1,0
OR15844,East,Sports,2022-02-17,2022-02-20,2022-02-27,Standard,59,Delivered,7,1,0
OR15845,Central,Fashion,2023-02-04,2023-02-07,2023-02-16,Express,243,Delivered,9,1,0
OR15846,East,Fashion,2023-05-10,2023-05-13,2023-05-21,Standard,106,Delivered,8,1,0
OR15847,West,Fashion,2023-02-27,2023-02-28,2023-03-04,Standard,107,Delivered,4,1,0
OR15848,East,Electronics,2022-05-15,2022-05-16,2022-05-22,Express,101,Delivered,6,1,0
OR15849,West,Beauty,2022-11-14,2022-11-15,2022-11-19,Standard,68,Delivered,4,1,0
OR15850,Central,Beauty,2023-11-15,2023-11-16,2023-11-21,Standard,95,Delivered,5,1,0
OR15851,Central,Beauty,2024-05-14,2024-05-15,2024-05-19,Standard,68,Delivered,4,1,0
OR15852,North,Sports,2025-09-22,2025-09-23,2025-09-28,Express,116,Delivered,5,1,0
OR15853,West,Sports,2024-08-02,2024-08-02,2024-08-04,Standard,125,Delivered,2,1,0
OR15854,West,Electronics,2022-04-14,2022-04-17,2022-04-23,Standard,107,Delivered,6,1,0
OR15855,South,Home,2024-02-20,2024-02-23,2024-03-01,Standard,65,Delayed,7,0,1
OR15856,South,Sports,2025-07-29,2025-08-01,2025-08-10,Express,115,Returned,9,1,0
OR15857,South,Home,2025-11-21,2025-11-22,2025-11-28,Standard,124,Delivered,6,1,0
OR15858,East,Home,2025-12-21,2025-12-24,2025-12-30,Express,173,Delivered,6,1,0
OR15859,South,Home,2025-01-13,2025-01-13,2025-01-16,Standard,76,Delivered,3,1,0
OR15860,West,Sports,2025-08-05,2025-08-05,2025-08-07,Express,241,Delivered,2,1,0
OR15861,East,Grocery,2024-09-27,2024-09-30,2024-10-10,Express,133,Delivered,10,1,0
OR15862,Central,Home,2022-11-19,2022-11-22,2022-11-29,Standard,77,Delivered,7,1,0
OR15863,North,Beauty,2024-02-14,2024-02-17,2024-02-27,Express,238,Delayed,10,0,1
OR15864,South,Grocery,2023-12-20,2023-12-23,2023-12-29,Express,227,Delivered,6,1,0
OR15865,Central,Electronics,2023-12-31,2024-01-01,2024-01-06,Standard,64,Delivered,5,1,0
OR15866,West,Beauty,2023-10-28,2023-10-29,2023-11-04,Standard,89,Delivered,6,1,0
OR15867,North,Grocery,2022-03-17,2022-03-20,2022-03-28,Standard,63,Delivered,8,1,0
OR15868,Central,Grocery,2023-09-20,2023-09-21,2023-09-26,Same Day,393,Delayed,5,0,1
OR15869,North,Fashion,2023-11-27,2023-11-30,2023-12-07,Standard,62,Delayed,7,0,1
OR15870,South,Home,2025-10-20,2025-10-23,2025-10-30,Standard,103,Delivered,7,1,0
OR15871,West,Sports,2022-03-07,2022-03-10,2022-03-22,Express,147,Delivered,12,1,0
OR15872,North,Fashion,2025-02-01,2025-02-01,2025-02-05,Standard,111,Delivered,4,1,0
OR15873,Central,Beauty,2022-02-13,2022-02-14,2022-02-21,Standard,81,Delivered,7,1,0
OR15874,South,Grocery,2024-05-18,2024-05-19,2024-05-26,Standard,109,Delayed,7,0,1
OR15875,South,Electronics,2025-12-12,2025-12-15,2025-12-23,Standard,132,Delivered,8,1,0
OR15876,Central,Sports,2025-03-09,2025-03-10,2025-03-16,Same Day,288,Returned,6,1,0
OR15877,Central,Electronics,2025-03-03,2025-03-04,2025-03-09,Same Day,265,Delivered,5,1,0
OR15878,North,Grocery,2022-08-12,2022-08-15,2022-08-23,Express,207,Delivered,8,1,0
OR15879,East,Electronics,2023-09-04,2023-09-07,2023-09-14,Standard,97,Delivered,7,1,0
OR15880,South,Fashion,2022-03-21,2022-03-24,2022-03-30,Same Day,358,Delivered,6,1,0
OR15881,North,Electronics,2024-06-11,2024-06-14,2024-06-21,Standard,101,Delivered,7,1,0
OR15882,Central,Fashion,2025-12-03,2025-12-06,2025-12-12,Standard,118,Delivered,6,1,0
OR15883,North,Home,2024-01-03,2024-01-03,2024-01-07,Standard,111,Delivered,4,1,0
OR15884,Central,Sports,2025-09-28,2025-09-29,2025-10-03,Standard,89,Delivered,4,1,0
OR15885,West,Electronics,2024-09-25,2024-09-28,2024-10-05,Standard,131,Delayed,7,0,1
OR15886,Central,Fashion,2024-04-07,2024-04-08,2024-04-15,Same Day,220,Delivered,7,1,0
OR15887,Central,Grocery,2022-04-18,2022-04-19,2022-04-23,Express,108,Delivered,4,1,0
OR15888,Central,Beauty,2024-06-21,2024-06-22,2024-06-29,Same Day,398,Delivered,7,1,0
OR15889,East,Grocery,2022-04-23,2022-04-26,2022-05-06,Standard,98,Delayed,10,0,1
OR15890,Central,Fashion,2025-04-13,2025-04-16,2025-04-25,Standard,57,Delivered,9,1,0
OR15891,South,Sports,2022-05-10,2022-05-13,2022-05-21,Express,119,Delivered,8,1,0
OR15892,South,Home,2024-03-15,2024-03-16,2024-03-23,Standard,69,Delivered,7,1,0
OR15893,North,Home,2024-04-16,2024-04-19,2024-04-25,Standard,53,Delayed,6,0,1
OR15894,East,Sports,2022-04-12,2022-04-15,2022-04-22,Standard,51,Delivered,7,1,0
OR15895,North,Beauty,2025-06-15,2025-06-18,2025-06-27,Express,104,Delivered,9,1,0
OR15896,South,Electronics,2022-10-05,2022-10-06,2022-10-11,Express,245,Delivered,5,1,0
OR15897,South,Fashion,2024-04-17,2024-04-18,2024-04-24,Standard,104,Delivered,6,1,0
OR15898,West,Home,2024-03-23,2024-03-26,2024-04-04,Standard,63,Delivered,9,1,0
OR15899,Central,Sports,2024-09-22,2024-09-22,2024-09-24,Standard,145,Delivered,2,1,0
OR15900,South,Home,2024-09-26,2024-09-26,2024-09-28,Same Day,336,Delivered,2,1,0
OR15901,North,Home,2025-06-19,2025-06-20,2025-06-25,Standard,122,Delivered,5,1,0
OR15902,North,Electronics,2025-11-01,2025-11-02,2025-11-08,Express,192,Delayed,6,0,1
OR15903,Central,Home,2022-09-10,2022-09-10,2022-09-14,Standard,91,Delivered,4,1,0
OR15904,Central,Fashion,2025-07-21,2025-07-22,2025-07-28,Standard,69,Delivered,6,1,0
OR15905,West,Sports,2025-06-08,2025-06-08,2025-06-12,Express,214,Delivered,4,1,0
OR15906,East,Beauty,2024-03-24,2024-03-27,2024-04-05,Express,121,Delivered,9,1,0
OR15907,North,Beauty,2023-12-10,2023-12-11,2023-12-16,Express,194,Delivered,5,1,0
OR15908,Central,Beauty,2024-02-16,2024-02-17,2024-02-24,Same Day,383,Delivered,7,1,0
OR15909,North,Electronics,2023-10-16,2023-10-17,2023-10-22,Same Day,260,Delayed,5,0,1
OR15910,Central,Beauty,2023-12-06,2023-12-09,2023-12-16,Standard,138,Returned,7,1,0
OR15911,South,Electronics,2025-08-12,2025-08-12,2025-08-16,Standard,82,Delivered,4,1,0
OR15912,North,Beauty,2023-10-24,2023-10-25,2023-10-29,Standard,71,Delivered,4,1,0
OR15913,South,Sports,2022-01-15,2022-01-18,2022-01-30,Standard,119,Delayed,12,0,1
OR15914,North,Fashion,2024-07-09,2024-07-10,2024-07-14,Standard,89,Delivered,4,1,0
OR15915,East,Beauty,2022-06-28,2022-06-29,2022-07-05,Standard,104,Delivered,6,1,0
OR15916,West,Home,2025-05-31,2025-06-03,2025-06-11,Standard,146,Delivered,8,1,0
OR15917,South,Home,2025-12-20,2025-12-23,2026-01-03,Express,208,Delivered,11,1,0
OR15918,Central,Beauty,2025-05-23,2025-05-26,2025-06-03,Standard,139,Delivered,8,1,0
OR15919,East,Fashion,2023-10-19,2023-10-19,2023-10-23,Express,228,Delivered,4,1,0
OR15920,North,Grocery,2023-01-17,2023-01-18,2023-01-24,Standard,100,Delivered,6,1,0
OR15921,South,Sports,2023-11-05,2023-11-06,2023-11-10,Standard,142,Delivered,4,1,0
OR15922,North,Fashion,2024-08-22,2024-08-25,2024-09-01,Standard,60,Delivered,7,1,0
OR15923,North,Home,2022-02-16,2022-02-19,2022-02-25,Standard,73,Delivered,6,1,0
OR15924,North,Sports,2023-11-13,2023-11-16,2023-11-25,Standard,85,Delivered,9,1,0
OR15925,West,Beauty,2025-10-05,2025-10-06,2025-10-13,Standard,91,Delivered,7,1,0
OR15926,West,Sports,2023-05-19,2023-05-22,2023-06-02,Standard,145,Delivered,11,1,0
OR15927,Central,Home,2022-04-19,2022-04-22,2022-04-28,Express,153,Delivered,6,1,0
OR15928,South,Fashion,2025-04-19,2025-04-20,2025-04-26,Standard,124,Delivered,6,1,0
OR15929,East,Grocery,2024-09-16,2024-09-19,2024-09-25,Standard,136,Delivered,6,1,0
OR15930,East,Sports,2022-01-14,2022-01-17,2022-01-27,Standard,52,Delayed,10,0,1
OR15931,East,Beauty,2023-08-02,2023-08-05,2023-08-15,Standard,120,Delivered,10,1,0
OR15932,North,Sports,2022-08-18,2022-08-21,2022-08-30,Express,202,Delivered,9,1,0
OR15933,West,Sports,2023-06-16,2023-06-17,2023-06-22,Standard,122,Delivered,5,1,0
OR15934,South,Beauty,2022-05-31,2022-06-03,2022-06-09,Standard,120,Delivered,6,1,0
OR15935,North,Beauty,2023-06-19,2023-06-22,2023-06-30,Standard,102,Delivered,8,1,0
OR15936,West,Beauty,2024-07-28,2024-07-31,2024-08-09,Standard,131,Delayed,9,0,1
OR15937,West,Fashion,2025-11-13,2025-11-16,2025-11-27,Standard,70,Delivered,11,1,0
OR15938,South,Sports,2025-05-09,2025-05-10,2025-05-15,Standard,50,Delivered,5,1,0
OR15939,South,Beauty,2022-07-30,2022-08-02,2022-08-08,Standard,133,Delivered,6,1,0
OR15940,South,Home,2023-08-04,2023-08-05,2023-08-11,Standard,105,Delivered,6,1,0
OR15941,North,Home,2023-04-11,2023-04-12,2023-04-19,Standard,132,Delivered,7,1,0
OR15942,Central,Beauty,2023-10-07,2023-10-10,2023-10-17,Standard,95,Delivered,7,1,0
OR15943,South,Electronics,2022-08-19,2022-08-19,2022-08-23,Same Day,371,Delayed,4,0,1
OR15944,Central,Sports,2023-08-12,2023-08-15,2023-08-21,Express,206,Delayed,6,0,1
OR15945,North,Grocery,2022-09-11,2022-09-14,2022-09-20,Same Day,390,Delivered,6,1,0
OR15946,Central,Electronics,2023-12-31,2024-01-03,2024-01-14,Express,187,Delivered,11,1,0
OR15947,East,Sports,2025-05-16,2025-05-19,2025-05-29,Express,178,Delivered,10,1,0
OR15948,Central,Sports,2023-06-07,2023-06-08,2023-06-14,Express,161,Delayed,6,0,1
OR15949,South,Beauty,2022-03-08,2022-03-11,2022-03-22,Standard,139,Delivered,11,1,0
OR15950,North,Fashion,2024-05-30,2024-05-30,2024-06-03,Express,80,Delivered,4,1,0
OR15951,South,Fashion,2025-10-05,2025-10-08,2025-10-17,Express,212,Delivered,9,1,0
OR15952,East,Home,2022-02-20,2022-02-20,2022-02-24,Express,171,Delayed,4,0,1
OR15953,South,Electronics,2022-11-12,2022-11-13,2022-11-20,Express,136,Delayed,7,0,1
OR15954,South,Electronics,2024-03-23,2024-03-24,2024-03-30,Same Day,380,Delivered,6,1,0
OR15955,South,Beauty,2022-03-17,2022-03-20,2022-03-31,Same Day,232,Delivered,11,1,0
OR15956,West,Electronics,2023-11-25,2023-11-26,2023-12-01,Standard,112,Delivered,5,1,0
OR15957,East,Beauty,2022-02-18,2022-02-19,2022-02-23,Standard,107,Delayed,4,0,1
OR15958,South,Home,2022-05-29,2022-06-01,2022-06-09,Standard,71,Delivered,8,1,0
OR15959,South,Grocery,2024-01-17,2024-01-17,2024-01-19,Standard,109,Delivered,2,1,0
OR15960,South,Grocery,2025-06-11,2025-06-14,2025-06-22,Standard,67,Delivered,8,1,0
OR15961,North,Beauty,2024-07-11,2024-07-12,2024-07-18,Standard,114,Delivered,6,1,0
OR15962,West,Grocery,2022-03-22,2022-03-25,2022-04-03,Standard,99,Delivered,9,1,0
OR15963,North,Beauty,2022-11-07,2022-11-08,2022-11-14,Express,148,Delivered,6,1,0
OR15964,West,Electronics,2024-11-05,2024-11-06,2024-11-13,Express,140,Delivered,7,1,0
OR15965,South,Sports,2025-11-30,2025-12-03,2025-12-10,Express,179,Delivered,7,1,0
OR15966,East,Electronics,2025-09-28,2025-10-01,2025-10-09,Standard,118,Delivered,8,1,0
OR15967,Central,Beauty,2022-05-28,2022-05-31,2022-06-07,Express,211,Delivered,7,1,0
OR15968,Central,Sports,2023-01-19,2023-01-22,2023-02-02,Standard,92,Delivered,11,1,0
OR15969,South,Fashion,2025-12-27,2025-12-28,2026-01-02,Standard,84,Delivered,5,1,0
OR15970,North,Beauty,2025-09-13,2025-09-14,2025-09-20,Standard,93,Delivered,6,1,0
OR15971,East,Beauty,2024-03-27,2024-03-27,2024-03-29,Standard,86,Delivered,2,1,0
OR15972,West,Home,2025-10-16,2025-10-19,2025-10-27,Standard,63,Delivered,8,1,0
OR15973,South,Grocery,2023-09-06,2023-09-09,2023-09-18,Express,195,Delivered,9,1,0
OR15974,East,Electronics,2022-08-10,2022-08-13,2022-08-20,Standard,146,Delivered,7,1,0
OR15975,East,Electronics,2023-07-28,2023-07-29,2023-08-03,Standard,108,Delivered,5,1,0
OR15976,West,Fashion,2023-01-11,2023-01-12,2023-01-16,Standard,139,Delivered,4,1,0
OR15977,East,Sports,2022-05-01,2022-05-02,2022-05-06,Standard,122,Delivered,4,1,0
OR15978,North,Grocery,2022-06-09,2022-06-12,2022-06-19,Standard,64,Delivered,7,1,0
OR15979,North,Home,2022-09-26,2022-09-29,2022-10-06,Same Day,297,Delivered,7,1,0
OR15980,North,Sports,2022-06-19,2022-06-19,2022-06-23,Same Day,239,Delivered,4,1,0
OR15981,East,Sports,2024-10-19,2024-10-22,2024-10-28,Standard,79,Delivered,6,1,0
OR15982,North,Beauty,2024-09-10,2024-09-11,2024-09-18,Standard,58,Delivered,7,1,0
OR15983,West,Grocery,2024-02-17,2024-02-18,2024-02-23,Express,135,Delivered,5,1,0
OR15984,East,Home,2022-06-24,2022-06-27,2022-07-05,Standard,70,Delivered,8,1,0
OR15985,Central,Grocery,2025-05-05,2025-05-08,2025-05-16,Same Day,388,Delivered,8,1,0
OR15986,East,Grocery,2022-08-07,2022-08-08,2022-08-13,Standard,149,Returned,5,1,0
OR15987,West,Electronics,2023-07-24,2023-07-25,2023-07-31,Express,138,Delivered,6,1,0
OR15988,Central,Home,2024-01-26,2024-01-26,2024-01-30,Standard,88,Delivered,4,1,0
OR15989,East,Sports,2022-09-07,2022-09-08,2022-09-12,Standard,118,Delivered,4,1,0
OR15990,North,Grocery,2023-01-15,2023-01-18,2023-01-26,Standard,72,Delivered,8,1,0
OR15991,South,Fashion,2024-04-09,2024-04-10,2024-04-16,Express,126,Delivered,6,1,0
OR15992,South,Home,2024-11-16,2024-11-19,2024-11-29,Standard,140,Delayed,10,0,1
OR15993,North,Fashion,2025-04-25,2025-04-26,2025-05-02,Express,118,Delivered,6,1,0
OR15994,South,Sports,2024-09-07,2024-09-08,2024-09-14,Express,114,Delivered,6,1,0
